"sample","method","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","Rb","Sr","Y","Zr","Nb","Ba","Ce","Pb","Th"
"H001","WD RFA",309447,3717,69436,39301,1115,11819,7933,29636,655,92,104,97,55,14,98,153,120,32,211,18,333,73,30,15
"H002","WD RFA",297153,4137,78381,44056,1487,13267,5074,29470,655,39,111,99,57,17,109,164,106,35,236,19,394,80,31,17
"H003","WD RFA",311737,4496,82773,47552,1905,14593,7719,30051,698,32,122,111,68,19,113,170,112,37,238,19,396,91,35,18
"H004","WD RFA",294863,3597,72083,37203,767,13508,34091,24489,873,443,95,98,55,25,86,135,169,28,188,15,313,60,45,15
"H005","WD RFA",285000,4077,78592,43986,1371,14051,5860,28474,698,23,115,102,65,23,112,171,111,36,225,19,365,83,33,17
"H006","WD RFA",292526,3537,72612,35664,767,13628,25300,24323,3273,204,107,92,44,22,90,118,169,27,178,14,622,61,27,15
"H007","WD RFA",251297,4257,86107,45105,891,17850,80189,25735,1527,965,130,160,82,30,109,157,345,27,130,16,344,63,23,15
"H008","WD RFA",274436,4317,84784,45175,1224,17427,50457,27478,655,877,117,135,77,32,109,159,232,31,186,17,354,72,29,16
"H009","WD RFA",269855,4197,83144,44545,1092,17548,56532,26316,611,1040,122,137,79,33,110,157,248,30,174,17,304,65,29,16
"H010","WD RFA",246249,4317,89653,44476,1053,19176,100486,25320,698,859,149,166,94,34,107,157,392,27,129,16,370,71,18,16
"H011","WD RFA",289768,4077,87854,47343,1255,16704,14866,29636,742,76,121,109,65,26,113,171,120,35,199,18,362,73,40,17
"H012","WD RFA",235077,3957,78328,40909,844,17066,89051,24822,524,567,133,148,87,37,105,160,345,28,132,16,304,65,22,18
"H013","WD RFA",249287,3957,70865,36434,410,13025,83047,17682,1397,777,122,115,32,19,86,86,289,21,152,14,591,52,24,10
"H014","WD RFA",237414,4077,80339,43217,976,17910,94197,25237,698,1163,111,155,95,33,104,148,369,27,127,15,350,63,26,17
"H015","WD RFA",250362,4017,83514,42028,960,15558,71326,26150,786,886,127,143,81,28,109,146,272,27,143,15,493,64,26,15
"H016","WD RFA",332118,3477,82191,27063,248,10432,8219,29387,960,117,93,87,38,16,78,188,128,32,250,16,472,55,26,17
"H017","WD RFA",238489,4137,83197,43427,1193,19357,97627,23659,1091,576,125,156,91,40,104,143,411,27,124,15,396,66,22,17
"H018","WD RFA",227551,3897,78486,40769,1084,17608,104703,24240,960,1108,127,152,79,36,104,143,374,26,118,15,481,68,26,15
"H019","WD RFA",232646,3957,80127,40699,953,16824,98199,24489,873,1154,130,153,79,37,103,142,372,26,119,14,387,69,25,15
"H020","WD RFA",249614,4197,85525,44476,898,19297,85906,25984,567,1143,120,157,90,39,110,157,324,27,131,16,296,60,26,15
"H021","WD RFA",254803,4257,87536,45664,976,17548,80260,27146,960,917,130,156,93,35,107,161,320,27,131,15,377,70,29,17
"H022","WD RFA",245641,4017,83832,42378,1193,16342,84977,26565,960,954,129,138,87,39,107,149,311,28,136,16,477,72,28,17
"H023","WD RFA",254663,4137,85525,43497,1138,16402,76544,26980,873,667,122,143,85,36,108,155,296,29,147,16,400,67,29,16
"H024","WD RFA",252699,4137,85949,44056,1309,15860,82333,26897,829,539,130,137,88,36,105,156,329,29,145,16,341,67,29,16
"H025","WD RFA",306596,4317,82667,44545,1255,14654,6361,28889,655,43,117,107,58,20,112,166,113,36,239,20,367,80,33,16
"H026","WD RFA",318328,4017,76687,42238,1301,13689,7504,27063,611,55,111,101,56,21,104,154,106,33,222,19,361,75,32,14
"H028","WD RFA",312859,4317,81609,44755,1340,14352,8505,28640,611,53,117,108,59,22,110,163,118,35,233,19,371,76,33,14
"H029","WD RFA",315711,4137,81080,44336,1386,14231,5575,29221,698,31,114,105,60,17,107,163,107,35,223,19,353,71,35,17
"H030","WD RFA",321881,4197,83779,43287,1239,14955,6718,28474,829,93,118,101,54,22,107,158,112,33,224,18,353,73,31,14
"H031","WD RFA",315664,4376,85419,45385,1247,15136,7504,29387,655,98,120,108,58,22,110,164,114,35,234,19,358,70,32,16
"H033","WD RFA",318562,4137,79121,44685,1247,13749,6289,30051,655,18,117,104,57,14,108,170,109,34,223,19,338,70,43,17
"H034","WD RFA",321788,4376,84573,45804,1239,14774,7004,29636,611,50,123,110,58,21,111,165,114,34,233,19,351,77,35,18
"H035","WD RFA",322442,4017,76846,42308,1247,13508,6504,27395,611,59,110,100,55,24,103,155,107,33,223,19,348,74,32,16
"H036","WD RFA",288132,3657,71447,32378,635,13809,67824,20920,655,443,101,101,53,22,76,133,334,23,132,14,268,51,23,14
"H037","WD RFA",319310,4137,78169,44336,1657,13809,9577,27893,655,50,118,104,59,20,107,157,110,34,228,19,359,77,31,16
"H038","WD RFA",315944,4496,88171,47063,1293,15799,7004,29885,698,121,120,114,58,27,110,166,114,36,238,19,386,71,34,17
"H039","WD RFA",299023,4197,80392,44755,1526,14231,8148,28972,742,27,120,107,66,24,112,170,116,36,228,19,350,78,33,17
"H040","WD RFA",311878,4436,82667,45594,1332,14533,6504,29387,655,48,123,110,58,25,112,167,113,35,240,20,365,78,31,18
"H041","WD RFA",309634,4077,77110,42587,1379,13508,5932,27727,567,40,113,106,57,18,105,155,104,32,221,18,332,66,31,15
"H042","WD RFA",323517,4017,75417,43217,1448,13206,8648,27561,611,61,112,102,56,24,102,154,109,33,223,18,368,79,31,16
"H043","WD RFA",314776,4376,84308,47273,1456,14955,6575,30384,698,29,129,110,64,27,113,173,110,36,226,19,354,78,53,17
"H044","WD RFA",323611,4077,74464,41888,1138,13146,7933,27229,567,74,108,103,55,23,102,153,108,32,220,18,321,68,30,15
"H045","WD RFA",211892,2698,47896,25455,651,17247,166166,12452,1615,959,52,67,27,18,59,127,301,25,189,12,392,43,6,13
"H046","WD RFA",312906,4257,79069,45035,1402,13990,17010,28723,698,138,118,110,61,25,110,160,132,35,224,19,357,73,33,16
"H047","WD RFA",249240,4257,85578,35944,542,15136,80117,23244,916,1826,116,110,56,24,95,141,631,26,154,15,515,59,27,14
"H048","WD RFA",314262,4317,82773,45664,1425,15136,17581,29470,655,177,121,115,65,25,110,164,142,34,219,19,346,76,32,17
"H049","WD RFA",290329,4077,83673,44755,2440,15015,20798,25071,1702,254,127,114,68,25,105,143,160,30,199,17,385,68,32,14
"H050","WD RFA",326883,4017,76369,41329,1131,13206,16295,27561,611,172,114,105,55,21,100,154,133,32,210,18,337,65,29,17
"H051","WD RFA",301314,3837,77851,40350,1402,12241,18868,25237,567,307,93,97,54,28,100,142,137,26,192,15,462,58,29,14
"H052","WD RFA",301127,3837,78433,42028,2548,12905,16152,23576,1440,122,109,103,62,28,99,134,134,29,194,16,380,54,30,15
"H053","WD RFA",300285,3717,78698,40280,3307,12905,16867,23742,786,148,103,98,63,27,104,142,136,27,189,16,469,68,29,15
"H054","WD RFA",304258,4317,84043,44965,1766,14292,9434,26067,611,81,117,103,56,25,110,147,117,29,224,18,475,69,34,17
"H055","WD RFA",249194,3897,78063,40769,1084,16583,80760,25320,1397,1335,124,136,76,34,100,141,296,28,143,15,448,55,27,16
"H056","WD RFA",334736,8153,86637,49371,472,2593,4931,12784,524,28,162,227,112,20,87,106,70,27,301,33,214,62,65,15
"H057","WD RFA",240639,2338,45409,21329,589,10432,120712,15524,1615,463,43,53,23,15,52,78,276,21,171,10,381,43,14,9
"H058","WD RFA",348432,3357,61127,28811,209,9468,16009,21003,480,63,71,84,27,10,60,110,111,28,244,15,392,58,26,12
"H059","WD RFA",242462,2878,59063,31538,589,15136,98270,17765,916,259,80,100,54,22,63,96,291,24,142,11,357,45,22,17
"H060","WD RFA",261674,2638,57634,23986,589,11940,69111,18429,1222,251,80,87,41,21,62,98,218,18,115,9,227,38,18,11
"H061","WD RFA",317113,2758,54406,36503,349,9468,43310,18595,786,152,70,81,31,10,49,89,150,23,191,12,393,49,24,13
"H062","WD RFA",337914,5456,81662,43636,318,6271,9648,13781,480,48,108,107,32,15,64,103,90,38,313,18,379,66,32,17
"H064","WD RFA",287524,4077,72135,41259,527,11638,48385,17516,698,301,98,109,46,19,71,100,185,28,217,16,521,61,25,14
"H066","WD RFA",346655,3897,61233,32028,194,6995,14079,16686,349,57,80,89,30,10,59,100,96,29,283,16,291,57,30,15
"H068","WD RFA",315103,4496,72135,41678,418,9709,30303,18097,655,169,93,104,42,17,66,112,146,32,260,17,368,61,28,16
"H069","WD RFA",310382,4496,73194,43287,511,9045,32662,16437,698,231,95,110,41,18,66,101,178,31,251,17,366,54,27,14
"H070","WD RFA",241855,3477,66684,37133,589,14292,88408,18429,698,247,100,114,58,32,79,106,261,23,151,13,386,48,23,14
"H071","WD RFA",315664,3657,65732,33986,418,11819,29946,22331,786,120,78,88,32,9,68,121,133,30,241,16,465,60,28,16
"H073","WD RFA",247978,3597,70759,38741,627,13809,88265,20256,873,332,107,117,63,22,80,116,284,25,155,14,472,58,22,14
"H074","WD RFA",334736,4496,80974,35315,891,8744,6146,25652,1004,104,92,114,50,20,127,145,110,36,327,17,499,74,27,15
"H075","WD RFA",316038,3657,89600,23566,310,11035,13293,29387,1440,249,105,96,47,28,89,182,152,34,266,17,760,55,26,18
"H076","WD RFA",231618,3837,75628,39301,1348,17910,132790,21418,1222,1273,122,143,89,198,148,127,440,28,118,14,378,51,25,19
"H077","WD RFA",291217,2818,78698,42657,2246,7478,15795,17267,2313,103,91,85,44,14,66,133,185,33,216,25,1180,62,21,21
"H078","WD RFA",320525,2458,66367,25664,465,5729,13365,18595,1877,180,57,70,24,12,49,109,165,23,241,19,1011,50,19,18
"H079","WD RFA",304586,2818,75364,35874,635,6573,6790,22746,2662,123,81,81,36,91,68,108,96,25,198,18,400,58,25,17
"H080","WD RFA",202590,2278,48584,22937,558,15196,136792,17018,1047,480,57,63,29,13,54,86,210,22,139,9,290,37,21,15
"H081","WD RFA",224139,3357,67214,33566,728,17186,106275,21252,1833,1003,104,136,69,25,83,104,300,24,115,10,484,37,21,16
"H082","WD RFA",318375,4556,88224,49860,1681,15739,5289,31297,742,17,132,115,68,19,114,170,109,40,232,21,377,79,33,21
"H083","WD RFA",313374,4676,90183,25804,302,10854,24514,23576,480,107,118,121,56,26,86,142,177,30,181,16,326,58,31,21
"H084","WD RFA",307297,4077,87166,45385,945,18031,13150,28723,655,95,115,110,56,18,103,159,116,35,188,16,375,63,32,21
"H085","WD RFA",309307,5156,82456,28182,573,11096,17581,27976,393,38,113,113,54,20,92,157,153,35,228,19,339,73,32,21
"H086","WD RFA",291123,3837,83197,42517,898,16885,16366,27312,873,154,109,102,52,18,98,136,114,31,176,15,406,50,29,18
"H087","WD RFA",280886,4317,90818,48601,1015,19779,19940,31961,829,139,131,114,62,21,111,162,125,37,198,17,406,65,33,21
"H088","WD RFA",335998,4317,89177,26573,132,6271,4288,28972,218,64,104,98,26,24,66,289,96,36,216,16,121,15,25,19
"H089","WD RFA",317534,3897,96110,27343,186,12362,8219,30467,524,97,109,112,47,17,87,214,131,36,244,19,567,56,29,21
"H090","WD RFA",331323,3417,77851,26434,232,9709,6218,28640,786,83,95,89,37,17,80,193,117,34,247,16,515,49,27,20
"H091","WD RFA",234329,3597,70495,35944,860,18031,107419,20505,1615,207,94,166,92,41,96,133,420,28,132,13,635,45,19,19
"H092","WD RFA",312158,4976,81344,27273,480,22312,35091,25984,786,142,108,128,64,27,110,145,169,32,223,18,378,63,32,20
"H093","WD RFA",250362,3537,69383,37972,635,14111,84477,19093,742,360,100,119,59,24,76,106,260,27,154,14,554,44,24,16
"H094","WD RFA",283457,2758,52712,30000,550,9347,64608,14030,1091,285,71,72,28,13,45,77,189,25,196,11,420,42,24,14
"H095","WD RFA",339176,9652,91294,24266,132,2593,7433,9547,480,98,140,217,54,20,40,78,100,30,358,41,226,73,27,19
"H096","WD RFA",294349,3717,80021,36783,1038,13809,18153,22995,1789,141,111,95,53,40,104,137,148,30,179,18,720,59,30,18
"H097","WD RFA",303510,3717,87642,26573,256,11759,13150,25984,1877,112,108,103,47,22,87,171,151,34,257,17,866,57,27,19
"H098","WD RFA",328051,4077,81662,25385,581,10613,20440,23493,698,148,98,98,47,22,83,135,156,28,168,16,439,56,30,17
"H099","WD RFA",286823,4017,78857,38881,1146,14714,45169,23908,1877,203,122,114,57,30,115,136,236,31,170,15,883,65,29,20
"H100","WD RFA",266536,3417,68854,32238,774,10674,71970,18429,1920,614,109,91,43,31,95,112,513,26,147,12,791,47,27,16
"H101","WD RFA",283878,3777,83461,34196,472,14533,50386,22746,873,334,107,121,58,29,95,143,211,30,135,14,420,54,30,18
"H102","WD RFA",225307,3537,67902,35175,968,16644,120354,19758,698,1750,104,117,73,39,84,109,344,25,113,12,413,45,20,17
"H103","WD RFA",328799,3597,72929,38042,1123,12784,16224,27312,742,132,96,94,51,18,86,142,126,32,188,16,356,55,30,17
"H104","WD RFA",297948,4317,86954,45175,1022,16282,19511,28806,698,103,123,111,53,22,104,160,114,37,230,17,388,56,33,21
