"Index";"Reading.No";"Time";"Type";"Duration";"Units";"Sigma.Value";"Sequence";"Res";"EScale";"Shape.Time";"SAMPLE";"LOCATION";"INSPECTOR";"MISC";"NOTE";"User.Login";"Flags";"SiO2";"SiO2.Error";"TiO2";"TiO2.Error";"Al2O3";"Al2O3.Error";"MnO";"MnO.Error";"MgO";"MgO.Error";"CaO";"CaO.Error";"K2O";"K2O.Error";"P2O5";"P2O5.Error";"Fe2O3";"Fe2O3.Error";"Ce";"Ce.Error";"La";"La.Error";"Ba";"Ba.Error";"Sb";"Sb.Error";"Sn";"Sn.Error";"Cd";"Cd.Error";"Pd";"Pd.Error";"Ag";"Ag.Error";"Bal";"Bal.Error";"Mo";"Mo.Error";"Nb";"Nb.Error";"Zr";"Zr.Error";"Y";"Y.Error";"Sr";"Sr.Error";"U";"U.Error";"Rb";"Rb.Error";"Th";"Th.Error";"As";"As.Error";"Se";"Se.Error";"Bi";"Bi.Error";"Au";"Au.Error";"Pb";"Pb.Error";"Hg";"Hg.Error";"W";"W.Error";"Zn";"Zn.Error";"Cu";"Cu.Error";"Ni";"Ni.Error";"Co";"Co.Error";"Fe";"Fe.Error";"Mn";"Mn.Error";"Cr";"Cr.Error";"V";"V.Error";"Ti";"Ti.Error";"Ca";"Ca.Error";"K";"K.Error";"Al";"Al.Error";"P";"P.Error";"Si";"Si.Error";"Cl";"Cl.Error";"S";"S.Error";"Mg";"Mg.Error"
1;1;"01.06.07 00:54";"Mining";362,84;"ppm";2;"Final";NA;NA;NA;"Bodmerton_trocken_01";NA;NA;NA;"Bodmerton_trocken";"User";NA;467874,59;0;6251,71;0;121910,27;0;554,57;0;14930,43;0;128031,64;0;22505,62;0;1067,84;0;39558,91;0;"< LOD";70,94;"< LOD";57,16;"3522,06";66,22;"< LOD";11,23;"< LOD";10,02;"< LOD";5,3;"< LOD";2,08;"< LOD";3,14;559992,13;1062,15;"< LOD";1,97;"14,57";1,34;"173,5";2,62;"18,78";1,28;350,02;3,4;"4,14";2,24;"101,9";2,02;"7,64";2,08;"9,07";2,1;"< LOD";1,5;"< LOD";1,74;"< LOD";3,9;"16,15";2,46;"< LOD";6,53;"< LOD";19,11;"60,36";4,92;"15,43";6,73;"31,96";14,55;"< LOD";63,42;"27669,38";150,39;"429,5";43,87;"127,67";22,43;"127,06";38,31;3747,8;236,63;91503,46;340,48;"18683,07";194,84;"64519,86";1097,88;"465,98";64;218714,75;781,99;"< LOD";20,37;"685,78";22,81;"9004";2518,26
2;2;"01.06.07 01:06";"Mining";361,55;"ppm";2;"Final";NA;NA;NA;"Bodmerton_trocken_02";NA;NA;NA;"Bodmerton_trocken";"User";NA;472601,28;0;6288,74;0;124344,8;0;573,87;0;17592,34;0;128526,84;0;22476,7;0;1176,03;0;39749,11;0;"< LOD";71,77;"< LOD";57,82;"3602,14";67,22;"< LOD";11,39;"< LOD";12,53;"< LOD";5,99;"< LOD";2,15;"< LOD";3,28;554286,88;1080,31;"< LOD";1,5;"13,54";1,34;"174,95";2,64;"17,73";1,28;351,39;3,42;"< LOD";3,36;"105,7";2,06;"8,4";2,08;"7,94";2,06;"< LOD";1,5;"< LOD";1,72;"< LOD";3,82;"14,78";2,44;"< LOD";7,26;"< LOD";27,36;"60,02";4,93;"21,7";6,87;"26,96";14,54;"< LOD";63,69;"27802,41";151,44;"444,45";44,43;"125,36";22,65;"121,53";38,68;3770;238,97;91857,38;343,36;"18659,06";196,21;"65808,31";1116,57;"513,19";64,53;220924,31;785,85;"< LOD";20,32;"679,63";22,78;"10609,3";2575,43
3;3;"01.06.07 00:09";"Mining";362,66;"ppm";2;"Final";NA;NA;NA;"Bodmerton_trocken_03";NA;NA;NA;"Bodmerton_trocken";"User";NA;471568,53;0;6391,66;0;124119,57;0;575,74;0;14883,18;0;130731,63;0;22871,26;0;1049,13;0;40836,73;0;"< LOD";69,83;"< LOD";56,74;"3516,33";65,42;"< LOD";13,96;"< LOD";8;"< LOD";5,23;"< LOD";2,08;"< LOD";3,2;553719,38;1070,86;"< LOD";1,5;"14,9";1,35;"175,12";2,63;"19,36";1,29;358,26;3,44;"5,89";2,28;"103,87";2,04;"7,55";2,12;"9,64";2,11;"< LOD";1,5;"< LOD";1,83;"< LOD";3,64;"15,81";2,46;"< LOD";6,64;"23,01";12,49;"64,16";5;"25,77";6,88;"31,99";14,48;"< LOD";63,92;"28563,15";152,94;"445,9";44,45;"134,99";22,94;"93,1";40,3;3831,7;247,76;93433,13;345,77;"18986,6";197,5;"65689,11";1109,79;"457,82";64,05;220441,53;781,25;"< LOD";20,48;"859,29";24,02;"8975,5";2531,27
4;4;"01.06.07 00:59";"Mining";360,02;"ppm";2;"Final";NA;NA;NA;"Bodmerton_trocken_04";NA;NA;NA;"Bodmerton_trocken";"User";NA;464332,75;0;6167,07;0;118184,42;0;556,44;0;14719,13;0;129331,92;0;21921,46;0;1071,72;0;39631,85;0;"< LOD";71,16;"< LOD";57,36;"3473,22";66,18;"< LOD";13,41;"< LOD";8,12;"< LOD";6,06;"< LOD";2,14;"< LOD";3,23;563616,19;1061,92;"< LOD";1,5;"13,92";1,35;"167,82";2,61;"18,1";1,29;352,19;3,44;"5,51";2,29;"103,4";2,06;"7,73";2,11;"5,98";2,04;"< LOD";1,5;"< LOD";1,78;"< LOD";3,76;"15,19";2,46;"< LOD";6,66;"< LOD";30,43;"64,65";5,04;"27,32";6,99;"< LOD";32,33;"< LOD";65,64;"27720,39";151,83;"430,95";42,1;"122,49";21,62;"109,54";34,06;3697,06;213,58;92432,77;343,3;"18198,13";192,14;"62547,99";1081,47;"467,67";63,83;217059,06;781,8;"< LOD";20,41;"459,09";20,96;"8876,57";2520,07
5;5;"01.06.07 01:11";"Mining";361,49;"ppm";2;"Final";NA;NA;NA;"Bodmerton_trocken_05";NA;NA;NA;"Bodmerton_trocken";"User";NA;469585,63;0;6000,07;0;120028,66;0;592,93;0;14895,89;0;129121,49;0;22001,05;0;873,53;0;39822,3;0;"< LOD";70,83;"< LOD";57,25;"3493,24";66,1;"< LOD";11,32;"< LOD";11,36;"< LOD";5,3;"< LOD";2,04;"< LOD";3,19;560151,38;1065,21;"< LOD";2,56;"14,98";1,36;"167,44";2,6;"17,82";1,28;350,79;3,42;"5,06";2,27;"104,21";2,06;"9,63";2,1;"8,1";2,07;"< LOD";1,5;"< LOD";1,7;"< LOD";3,82;"15,28";2,46;"< LOD";6,55;"< LOD";26,54;"62,55";4,98;"27,47";6,98;"27,97";14,6;"< LOD";75,78;"27853,61";151,75;"459,21";41,98;"131,92";21,66;"88,49";33,47;3596,95;210,05;92282,38;341,85;"18264,2";192,37;"63524,04";1081,54;"381,19";63,12;219514,59;779,24;"< LOD";20,36;"474,32";20,89;"8983,17";2500,54
6;6;"2007-06-01 01:12";"Mining";360;"ppm";2;"Final";NA;NA;NA;"Bodenprobe_01";NA;NA;NA;"Bodenprobe";"Admin";NA;452392,56;0;3242,36;0;52298,34;0;1204,19;0;5192,98;0;64117,95;0;14273,76;0;5780,05;0;35054,41;0;"< LOD";68,2;"< LOD";55,16;"< LOD";75,72;"< LOD";16,33;"28,52";5,98;"< LOD";6,77;"< LOD";2,22;"< LOD";5,09;669143,38;867,37;"< LOD";1,5;"7,28";1,32;"146,44";2,4;"14,54";1,32;147,26;2,27;"< LOD";2,15;"81,1";1,88;"4,1";2,42;"15,08";4,31;"< LOD";1,5;"< LOD";2,29;"< LOD";4,12;"170,82";5,11;"< LOD";6,75;"< LOD";18,92;"92,81";5,72;"33,58";7,7;"< LOD";22,02;"< LOD";62,33;"24518,72";145,14;"932,61";44,83;"57,29";14,88;"34,52";15,7;1943,74;104,01;45824,72;208,89;"11849,38";141,27;"27678,4";583,16;"2522,28";63,19;211477,45;750,57;"< LOD";19,9;"80,43";16,29;"3131,7";1707,01
7;7;"2007-06-01 01:21";"Mining";360;"ppm";2;"Final";NA;NA;NA;"Bodenprobe_02";NA;NA;NA;"Bodenprobe";"Admin";NA;421674,06;0;3484,53;0;54683,72;0;1191,08;0;1,66;0;62593,98;0;15588,24;0;2530,23;0;39785,11;0;"< LOD";70,23;"< LOD";56,86;"< LOD";126,69;"< LOD";19,84;"< LOD";8,85;"< LOD";6,85;"< LOD";2,36;"< LOD";5,63;683551,81;874,08;"< LOD";1,56;"7,91";1,4;"161,37";2,61;"17,59";1,39;151,5;2,4;"< LOD";2,64;"95,1";2,12;"6,29";2,31;"10,02";3,15;"< LOD";1,5;"< LOD";2,18;"< LOD";4,22;"64,85";3,71;"< LOD";7,32;"< LOD";20,42;"77,62";5,77;"42,16";8,49;"< LOD";24,41;"< LOD";69,68;"27827,6";162,76;"922,46";46,6;"36,56";15,91;"48,42";16,54;2088,92;109,6;44735,55;213,08;"12940,59";151,16;"28940,84";596,45;"1104,13";56,51;197117,64;746,11;"< LOD";20,99;"32,78";16,7;"< LOD";2492,94
8;8;"2007-06-01 01:32";"Mining";360;"ppm";2;"Final";NA;NA;NA;"Bodenprobe_03";NA;NA;NA;"Bodenprobe";"Admin";NA;326134,03;0;2817,99;0;34556,29;0;1040,67;0;1,66;0;74182,23;0;13527,18;0;1815,1;0;35834,58;0;"< LOD";70,25;"< LOD";56,93;"85,5";51,92;"< LOD";12,18;"< LOD";8,65;"< LOD";6,48;"< LOD";2,28;"< LOD";5,94;735902,88;724,55;"< LOD";1,5;"8,13";1,35;"120,96";2,28;"17,1";1,29;166,51;2,42;"< LOD";2,25;"82,55";1,91;"7,24";2,12;"11,95";2,44;"< LOD";1,5;"< LOD";1,9;"< LOD";3,95;"25,47";2,78;"< LOD";6,88;"< LOD";18,93;"62,14";5,2;"< LOD";11,06;"< LOD";22,11;"< LOD";63,73;"25064,4";148,11;"805,97";43,19;"77,53";14,75;"46";15,52;1689,34;102,27;53017,61;231,7;"11229,61";140,36;"18288,59";492,39;"792,07";50,16;152456,08;653,13;"< LOD";20,47;"< LOD";23,94;"< LOD";2418,25
9;9;"2007-06-01 00:09";"Mining";360;"ppm";2;"Final";NA;NA;NA;"Bodenprobe_04";NA;NA;NA;"Bodenprobe";"Admin";NA;51810,3;0;1135,54;0;1,89;0;223,77;0;1,66;0;76574,6;0;3413,32;0;2,29;0;6046,34;0;"< LOD";215,79;"< LOD";174,82;"< LOD";267,34;"< LOD";39,25;"< LOD";25,14;"< LOD";20;"< LOD";9,89;"< LOD";14,92;912779,25;691,18;"< LOD";5,78;"< LOD";6,47;"99,96";5,18;"7,05";2,67;198,27;6,18;"< LOD";8,38;"32,68";3,29;"< LOD";12,15;"< LOD";7,96;"< LOD";9,64;"< LOD";11,47;"< LOD";17,87;"< LOD";9,09;"< LOD";35,27;"< LOD";126,4;"< LOD";28,51;"< LOD";59,54;"< LOD";102,7;"< LOD";121,54;"4229,1";151,48;"173,3";88,37;"< LOD";84,24;"< LOD";71,57;680,74;183,95;54727,42;530,89;"2833,57";228,35;"< LOD";1585,43;"< LOD";214,08;24219,47;723,32;"< LOD";127,61;"< LOD";131,9;"< LOD";9452,24
10;10;"2007-06-01 00:18";"Mining";360;"ppm";2;"Final";NA;NA;NA;"Bodenprobe_05";NA;NA;NA;"Bodenprobe";"Admin";NA;160406,61;0;822,9;0;3229,07;0;198,67;0;1,66;0;100350,91;0;7723,65;0;2,29;0;7577,94;0;"< LOD";125,74;"< LOD";102,7;"< LOD";136,77;"< LOD";22,67;"< LOD";18,81;"< LOD";10,89;"< LOD";5,06;"< LOD";12,64;838813,81;749,99;"< LOD";2,92;"3,81";2,05;"47,26";2,81;"4,45";1,64;207,35;4,12;"< LOD";6,06;"39,62";2,22;"< LOD";5,39;"< LOD";4,98;"< LOD";3,93;"< LOD";4,92;"< LOD";8,17;"5,61";3,53;"< LOD";15,54;"< LOD";41,85;"16,19";7,88;"< LOD";25,78;"< LOD";46,62;"< LOD";64,63;"5300,37";106,78;"153,87";52;"59,89";17,83;"24,24";15,4;493,31;94,7;71720,2;411,75;"6411,79";142,83;"1708,95";533,99;"< LOD";101,88;74984,39;679,12;"< LOD";51,03;"< LOD";53,28;"< LOD";4907,15
