"","Nb","Zr","Y","Sr","Rb","Th","Pb","Zn","Cu","Ni","Fe","Mn","Cr","V","Ti","Ba","Ca","K","Al","P","Si","S","Mg","Index","Reading.No","Time","Type","Duration","Units","Sigma.Value","Sequence","Res","EScale","Shape.Time","SAMPLE","LOCATION","INSPECTOR","MISC","NOTE","User.Login","Flags","Bal","Bal.Error"
"1",13.8415,173.5,24.414,350.02,104.957,13.5228,20.026,64.5852,18.2074,38.6716,28776.1552,528.285,102.136,127.06,3747.8,2571.1038,96078.633,19617.2235,58713.0726,465.98,231837.635,891.514,7023.12,1,1,"01.06.07 00:54","Mining",362.84,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_01","NA","NA","NA","Bodmerton_trocken","User","NA",559992.13,1062.15
"2",12.863,174.95,23.049,351.39,108.871,14.868,18.3272,64.2214,25.606,32.6216,28914.5064,546.6735,100.288,121.53,3770,2629.5622,96450.249,19592.013,59885.5621,513.19,234179.7686,883.519,8275.254,2,2,"01.06.07 01:06","Mining",361.55,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_02","NA","NA","NA","Bodmerton_trocken","User","NA",554286.88,1080.31
"3",14.155,175.12,25.168,358.26,106.9861,13.3635,19.6044,68.6512,30.4086,38.7079,29705.676,548.457,107.992,93.1,3831.7,2566.9209,98104.7865,19935.93,59777.0901,457.82,233668.0218,1117.077,7000.89,3,3,"01.06.07 00:09","Mining",362.66,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_03","NA","NA","NA","Bodmerton_trocken","User","NA",553719.38,1070.86
"4",13.224,167.82,23.53,352.19,106.502,13.6821,18.8356,69.1755,32.2376,0,28829.2056,530.0685,97.992,109.54,3697.06,2535.4506,97054.4085,19108.0365,56918.6709,467.67,230082.6036,596.817,6923.7246,4,4,"01.06.07 00:59","Mining",360.02,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_04","NA","NA","NA","Bodmerton_trocken","User","NA",563616.19,1061.92
"5",14.231,167.44,23.166,350.79,107.3363,17.0451,18.9472,66.9285,32.4146,33.8437,28967.7544,564.8283,105.536,88.49,3596.95,2550.0652,96896.499,19177.41,57806.8764,381.19,232685.4654,616.616,7006.8726,5,5,"01.06.07 01:11","Mining",361.49,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_05","NA","NA","NA","Bodmerton_trocken","User","NA",560151.38,1065.21
"6",6.916,146.44,18.902,147.26,83.533,7.257,211.8168,99.3067,39.6244,0,25499.4688,1147.1103,45.832,34.52,1943.74,0,48115.956,12441.849,25187.344,2522.28,224166.097,104.559,2442.726,6,6,"2007-06-01 01:12","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_01","NA","NA","NA","Bodenprobe","Admin","NA",669143.38,867.37
"7",7.5145,161.37,22.867,151.5,97.953,11.1333,80.414,83.0534,49.7488,0,28940.704,1134.6258,29.248,48.42,2088.92,0,46972.3275,13587.6195,26336.1644,1104.13,208944.6984,42.614,0,7,7,"2007-06-01 01:21","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_02","NA","NA","NA","Bodenprobe","Admin","NA",683551.81,874.08
"8",7.7235,120.96,22.23,166.51,85.0265,12.8148,31.5828,66.4898,0,0,26066.976,991.3431,62.024,46,1689.34,62.415,55668.4905,11791.0905,16642.6169,792.07,161603.4448,0,0,8,8,"2007-06-01 01:32","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_03","NA","NA","NA","Bodenprobe","Admin","NA",735902.88,724.55
"9",0,99.96,9.165,198.27,33.6604,0,0,0,0,0,4398.264,213.159,0,0,680.74,0,57463.791,2975.2485,0,0,25672.6382,0,0,9,9,"2007-06-01 00:09","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_04","NA","NA","NA","Bodenprobe","Admin","NA",912779.25,691.18
"10",3.6195,47.26,5.785,207.35,40.8086,0,6.9564,17.3233,0,0,5512.3848,189.2601,47.912,24.24,493.31,0,75306.21,6732.3795,1555.1445,0,79483.4534,0,0,10,10,"2007-06-01 00:18","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_05","NA","NA","NA","Bodenprobe","Admin","NA",838813.81,749.99
"11",0,38.94,7.956,222.58,36.9358,0,6.9936,11.9091,0,0,5612.5992,209.5305,44.656,0,363.29,0,87764.7645,5347.7655,1039.7023,0,76064.7838,0,0,11,11,"2007-06-01 00:40","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_06","NA","NA","NA","Bodenprobe","Admin","NA",832099.25,744.14
"12",3.268,152.88,15.548,302.08,54.8269,0,10.7136,31.1691,0,0,14516.8192,462.6645,25.056,0,1616.74,0,132591.816,8514.891,19771.4153,194.96,154210.4536,0,0,12,12,"2007-06-01 01:01","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_07","NA","NA","NA","Bodenprobe","Admin","NA",678341.31,1105.75
"13",14.193,151.06,13.975,71.33,102.3099,0,23.6716,89.4092,25.8302,0,23119.0024,0,106.456,109.94,3955,272.8302,7400.0325,16243.9935,64469.3322,337.14,285602.8914,2590.211,6357.8268,13,13,"25.02.2017 12:32","Mining",121.63,"ppm",2,"Final","NA","NA","NA","Keramik_01","NA","NA","NA","Keramik","Admin","NA",599423.88,1711.69
"14",11.837,143.3,14.794,69.06,102.0318,19.1337,18.7488,94.3205,24.9216,0,23705.1048,0,113.712,86.98,3590.84,283.0794,8445.927,15448.524,60168.9361,275.35,287782.8132,3242.161,4934.943,14,14,"25.02.2017 12:35","Mining",121.03,"ppm",2,"Final","NA","NA","NA","Keramik_02","NA","NA","NA","Keramik","Admin","NA",602970.19,1702.47
"15",7.98,132.76,10.985,57.95,90.846,17.4699,22.4936,73.8086,0,0,20203.4456,0,65.56,70.67,2648.28,275.1954,5885.544,14239.344,51098.5748,252.38,275233.5686,2247.622,10469.1678,15,15,"25.02.2017 12:38","Mining",120.14,"ppm",2,"Final","NA","NA","NA","Keramik_03","NA","NA","NA","Keramik","Admin","NA",626523.5,1652.44
"16",11.3145,157.64,21.463,94.57,105.5544,16.5141,21.7744,190.6633,48.7458,146.2285,20854.3608,145.2384,93.352,122.92,4063.98,340.9611,37088.5305,21741.258,48520.8633,11094.22,259230.0596,11156.223,6041.8098,16,16,"25.02.2017 12:41","Mining",123.27,"ppm",2,"Final","NA","NA","NA","Keramik_04","NA","NA","NA","Keramik","Admin","NA",592913.5,1680.29
