"","SiO2","TiO2","Al2O3","MnO","MgO","CaO","K2O","P2O5","Fe2O3","Sum","Index","Reading.No","Time","Type","Duration","Units","Sigma.Value","Sequence","Res","EScale","Shape.Time","SAMPLE","LOCATION","INSPECTOR","MISC","NOTE","User.Login","Flags","Bal","Bal.Error"
"1",495947.068792,6251.70518,110938.3506777,682.121592,11645.737584,134433.2232936,23630.9074281,1067.839768,41141.26908944,825738.22340484,1,1,"01.06.07 00:54","Mining",362.84,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_01","NA","NA","NA","Bodmerton_trocken","User","NA",559992.13,1062.15
"2",500957.36098912,6288.737,113153.76958795,705.8648232,13722.0261828,134953.1884008,23600.5388598,1176.026204,41339.06980008,835896.58184775,2,2,"01.06.07 01:06","Mining",361.55,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_02","NA","NA","NA","Bodmerton_trocken","User","NA",554286.88,1080.31
"3",499862.63223456,6391.65877,112948.81174395,708.1676784,11608.875798,137268.2172708,24014.821278,1049.140312,42470.2049772,836322.53006291,3,3,"01.06.07 00:09","Mining",362.66,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_03","NA","NA","NA","Bodmerton_trocken","User","NA",553719.38,1070.86
"4",492192.70562112,6167.065786,107547.82866555,684.4244472,11480.92013172,135798.5283732,23017.5407679,1071.712572,41217.11524632,819177.84161101,4,4,"01.06.07 00:59","Mining",360.02,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_04","NA","NA","NA","Bodmerton_trocken","User","NA",563616.19,1061.92
"5",497760.74758368,6000.072295,109226.0929578,729.30630096,11618.79614532,135577.5814008,23101.108086,873.535004,41415.19846568,826302.43823924,5,5,"01.06.07 01:11","Mining",361.49,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_05","NA","NA","NA","Bodmerton_trocken","User","NA",560151.38,1065.21
"6",479536.1147024,3242.352694,47591.486488,1481.14881936,4050.5282532,67323.8456352,14987.4513054,5780.056848,36456.59054336,660449.57528892,6,6,"2007-06-01 01:12","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_01","NA","NA","NA","Bodenprobe","Admin","NA",669143.38,867.37
"7",446974.49881728,3484.527452,49762.1826338,1465.02883296,0,65723.680638,16367.6464497,2530.224308,41376.5245088,627684.31364054,7,7,"2007-06-01 01:21","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_02","NA","NA","NA","Bodenprobe","Admin","NA",683551.81,874.08
"8",345702.08911616,2817.988054,31446.22463255,1280.02221072,0,77891.3519076,14203.5476163,1815.107612,37267.9555872,512424.28673653,8,8,"2007-06-01 01:32","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_03","NA","NA","NA","Bodenprobe","Admin","NA",735902.88,724.55
"9",54918.90763744,1135.542394,0,275.2309008,0,80403.3363672,3583.9843431,0,6288.1980408,146605.19968334,9,9,"2007-06-01 00:09","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_04","NA","NA","NA","Bodenprobe","Admin","NA",912779.25,691.18
"10",170031.00351328,822.890411,2938.44553275,244.37264112,0,105368.449032,8109.8243457,0,7881.05654856,295396.04202441,10,10,"2007-06-01 00:18","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_05","NA","NA","NA","Bodenprobe","Admin","NA",838813.81,749.99
"11",162717.78550496,606.004049,1964.51749585,270.5457816,0,122800.4584884,6441.9183213,0,8024.33307624,302825.56271735,11,11,"2007-06-01 00:40","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_06","NA","NA","NA","Bodenprobe","Admin","NA",832099.25,744.14
"12",329887.00234112,2696.883994,37358.08920935,597.3924024,0,185522.4689472,10257.0376986,446.770336,20754.69641024,587520.34133891,12,12,"2007-06-01 01:01","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_07","NA","NA","NA","Bodenprobe","Admin","NA",678341.31,1105.75
"13",610961.70528288,6597.3355,121814.8031919,0,10542.54839976,10354.125474,19567.5145701,772.590024,33053.23773128,813663.86017392,13,13,"25.02.2017 12:32","Mining",121.63,"ppm",2,"Final","NA","NA","NA","Keramik_01","NA","NA","NA","Keramik","Admin","NA",599423.88,1711.69
"14",615624.99399744,5989.880204,113689.20476095,0,8183.1224826,11817.5410584,18609.2920104,630.99206,33891.18833256,808436.21490635,14,14,"25.02.2017 12:35","Mining",121.03,"ppm",2,"Final","NA","NA","NA","Keramik_02","NA","NA","NA","Keramik","Admin","NA",602970.19,1702.47
"15",588779.64994912,4417.595868,96550.7570846,0,17359.97404596,8235.0531648,17152.7137824,578.354008,28884.86617432,761958.9640772,15,15,"25.02.2017 12:38","Mining",120.14,"ppm",2,"Final","NA","NA","NA","Keramik_03","NA","NA","NA","Keramik","Admin","NA",626523.5,1652.44
"16",554544.94349632,6779.125038,91680.17120535,187.53182208,10018.52901036,51894.2718756,26189.5193868,25423.514552,29815.47963576,796533.08602227,16,16,"25.02.2017 12:41","Mining",123.27,"ppm",2,"Final","NA","NA","NA","Keramik_04","NA","NA","NA","Keramik","Admin","NA",592913.5,1680.29
"17",613450.84246432,6451.927223,132268.59893065,0,24788.74917948,27961.1706528,19568.2734681,8456.851892,41334.31175848,874280.72556883,17,17,"25.02.2017 12:43","Mining",122.65,"ppm",2,"Final","NA","NA","NA","Keramik_05","NA","NA","NA","Keramik","Admin","NA",543056.44,1946.57
