"","SiO2_wt","TiO2_wt","Al2O3_wt","MnO_wt","MgO_wt","CaO_wt","K2O_wt","P2O5_wt","Fe2O3_wt","Sum_wt","Index","Reading.No","Time","Type","Duration","Units","Sigma.Value","Sequence","Res","EScale","Shape.Time","SAMPLE","LOCATION","INSPECTOR","MISC","NOTE","User.Login","Flags","Bal","Bal.Error"
"1",60.061052611446,0.757104976226217,13.4350509075695,0.082607486569696,1.41034255819963,16.2803682187897,2.86179163787048,0.129319406287974,4.98236219704091,100,1,1,"01.06.07 00:54","Mining",362.84,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_01","NA","NA","NA","Bodmerton_trocken","User","NA",559992.13,1062.15
"2",59.9305430681094,0.752334336156602,13.5368144870055,0.084444037519532,1.6415937665958,16.1447230831458,2.82338023295071,0.140690395144384,4.94547659337235,100,2,2,"01.06.07 01:06","Mining",361.55,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_02","NA","NA","NA","Bodmerton_trocken","User","NA",554286.88,1080.31
"3",59.7691218717926,0.764257632700533,13.5054130056085,0.0846763841632641,1.3880859812693,16.4133109340573,2.87147845654637,0.125446855045395,5.0782088788168,100,3,3,"01.06.07 00:09","Mining",362.66,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_03","NA","NA","NA","Bodmerton_trocken","User","NA",553719.38,1070.86
"4",60.0837425794092,0.752836011026829,13.1287521710847,0.0835501660853031,1.40151741765151,16.5774171950423,2.80983439720895,0.130827827311875,5.03152223517932,100,4,4,"01.06.07 00:59","Mining",360.02,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_04","NA","NA","NA","Bodmerton_trocken","User","NA",563616.19,1061.92
"5",60.2395351324817,0.726135131318927,13.2186579517481,0.0882614242932735,1.40611906822862,16.407743112764,2.79572067283571,0.105716135348869,5.01211137098073,100,5,5,"01.06.07 01:11","Mining",361.49,"ppm",2,"Final","NA","NA","NA","Bodmerton_trocken_05","NA","NA","NA","Bodmerton_trocken","User","NA",560151.38,1065.21
"6",72.6075286660034,0.490931149827994,7.20592279390605,0.224263725010658,0.613298638496066,10.1936390231985,2.26928017916335,0.875170045415119,5.51996577897892,100,6,6,"2007-06-01 01:12","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_01","NA","NA","NA","Bodenprobe","Admin","NA",669143.38,867.37
"7",71.2100795103272,0.555140120005533,7.92789967064521,0.233402173851199,0,10.4708177677415,2.60762394312013,0.403104594620951,6.59193221968828,100,7,7,"2007-06-01 01:21","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_02","NA","NA","NA","Bodenprobe","Admin","NA",683551.81,874.08
"8",67.4640328462627,0.549932570906599,6.13675531127167,0.249797334718864,0,15.200558194395,2.77183341694398,0.354219668930966,7.27287065657015,100,8,8,"2007-06-01 01:32","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_03","NA","NA","NA","Bodenprobe","Admin","NA",735902.88,724.55
"9",37.4604091506046,0.774558062369354,0,0.187736111266507,0,54.8434411200061,2.44465022444035,0,4.28920533131308,100,9,9,"2007-06-01 00:09","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_04","NA","NA","NA","Bodenprobe","Admin","NA",912779.25,691.18
"10",57.5603526533472,0.278571914965604,0.994747767306639,0.0827271210017791,0,35.6702304844331,2.74540724720673,0,2.66796281173894,100,10,10,"2007-06-01 00:18","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_05","NA","NA","NA","Bodenprobe","Admin","NA",838813.81,749.99
"11",53.7331736610482,0.200116543518365,0.648729082915511,0.0893404701942289,0,40.5515496731757,2.12727032140042,0,2.64982024774762,100,11,11,"2007-06-01 00:40","Mining",360,"ppm",2,"Final","NA","NA","NA","Bodenprobe_06","NA","NA","NA","Bodenprobe","Admin","NA",832099.25,744.14
